"Q25 How satisfied are you with the opportunities for internships, practicums, or other hands-on experiences?",,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,3,7,12,3,7
Percentage,0.09375,0.21875,0.375,0.09375,0.21875
,,,,,
,,,,,
Alumni Survey,,,,,
,,,,,
Q1 How satisfied were you with the overall quality of the graduate program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,2,2
Percentage,0,0,0.2,0.4,0.4
,,,,,
,,,,,
Q2 How well did the program meet your academic expectations?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,3,1,0
Percentage,0,0.2,0.6,0.2,0
,,,,,
,,,,,
Q3 How would you rate the faculty support and mentorship you received during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,1,2
Percentage,0,0.2,0.2,0.2,0.4
,,,,,
,,,,,
Q4 How satisfied were you with the research opportunities provided during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,1,2,1
Percentage,0.2,0,0.2,0.4,0.2
,,,,,
,,,,,
Q5 How satisfied were you with the teaching opportunities provided during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,0,1,4
Percentage,0,0,0,0.2,0.8
,,,,,
,,,,,
Q6 How would you rate the sense of community among students and faculty during your studies?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,3,1
Percentage,0,0.2,0,0.6,0.2
,,,,,
,,,,,
Q7 How well did the program support your mental health and well-being?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,2,2,1
Percentage,0,0,0.4,0.4,0.2
,,,,,
,,,,,
Q8 How well did the program prepare you for your current career or further academic pursuits?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,3,1
Percentage,0,0.2,0,0.6,0.2
,,,,,
,,,,,
Q9 How relevant was the curriculum to your professional or academic goals after graduation?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,1,3
Percentage,0,0.2,0,0.2,0.6
,,,,,
,,,,,
Q10 How useful were the skills you developed in the program for your current job or academic work?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,1,3
Percentage,0,0,0.2,0.2,0.6
,,,,,
,,,,,
Q11 Did the program provide adequate networking opportunities for you to connect with professionals in your field?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q12 How well did the program prepare you for real-world applications in your field?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q13 How likely are you to recommend this program to someone considering graduate studies in economics?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,2,2
Percentage,0,0,0.2,0.4,0.4
,,,,,
,,,,,
Q14 How would you rate the academic rigor of the program's coursework in preparing you for your post-graduate endeavors?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q15 How well did the program's curriculum align with the skills and knowledge needed for your current career or studies?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,0,3,1
Percentage,0.2,0,0,0.6,0.2
,,,,,
,,,,,
Q16 How satisfied were you with the opportunities for interdisciplinary studies or collaboration with other departments?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,1,2,0,1
Percentage,0.2,0.2,0.4,0,0.2
